id;pesquisador_responsavel;uf;nome;ano_de_criacao;site;natureza_de_autarquia;criada_por_lei;resulta_de_fusao;competencia_normativa;autonomia_financeira;autonomia_patrimonial;autonomia_tecnica;autonomia_administrativa;poder_concedente;poder_sancionatorio;poder_tac;programa_de_compliance;taxa_de_regulacao;multa;assessoria_juridica;assessores_procuradores;algum_procurador;assessoria_vinculada_pge;ouvidoria;ouvidor_mandato_fixo;servidores_estatutarios;participacao_social;agenda_regulatoria;analise_de_impacto;nomeacao_exclusivamente_pelo_governador;eleicao_interna_presidente;mandato_definido;mandato_nao_coincidente_diretores;mandato_nao_coincidente_governador;tempo_mandato_meses;experiencia_previa;tempo_experiencia_anos;sabatina_assembleia;aprovacao_assembleia;vedacao_filiacao_partidaria;alguma_vedacao_setor_publico;algum_impedimento_previo_setor;quarentena;tempo_quarentena_meses;disciplina_mandatos_provisorios;indicacao_livre_mandatos_provisorios;preve_casos_exoneracao;preve_procedimento_exoneracao
58;Gustavo;DF;ADASA;2004;http://www.adasa.df.gov.br/;1;1;0;1;1;1;0;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;0;0;1;0;1;1;1;60;1;0;1;1;1;0;0;1;6;1;0;1;1
1;Bernardo;AC;AGEAC;2014;http://ageac.acre.gov.br/;1;1;0;1;1;1;1;1;0;1;0;0;1;1;1;0;0;1;1;0;1;1;0;0;0;0;1;0;0;48;0;0;0;1;0;0;0;1;6;1;0;1;0
40;Gustavo;MS;AGEMS;2001;https://www.agems.ms.gov.br/;1;1;0;1;1;0;1;1;0;1;0;0;1;1;1;1;1;1;1;0;1;1;1;0;1;0;1;0;0;48;1;0;0;1;1;0;0;1;12;1;1;1;0
49;Gustavo;RJ;AGENERSA;2005;www.agenersa.rj.gov.br;1;1;0;0;1;0;1;1;0;1;0;0;1;1;1;1;1;1;1;0;1;1;0;0;1;0;1;0;0;48;1;10;1;1;1;0;0;1;12;1;0;1;1
16;Lucas;PR;AGEPAR;2012;www.agepar.pr.gov.br;1;1;0;1;1;0;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;48;1;5;1;1;0;1;1;1;12;0;0;1;1
12;Lucas;MT;AGER;1999;http://www.ager.mt.gov.br/;1;1;0;1;1;0;0;1;0;1;0;0;1;1;1;0;0;1;1;1;1;1;1;1;1;0;1;1;1;48;0;-1;0;1;0;1;0;1;6;1;1;1;1
61;Daniel;BA;AGERBA;1998;http://www.agerba.ba.gov.br/;1;1;0;1;1;1;0;1;1;1;0;0;1;1;1;0;0;0;1;0;1;1;0;0;1;0;1;0;0;-1;1;5;0;0;1;0;0;1;12;0;-1;1;0
22;Lucas;RS;AGERGS;1997;www.agergs.rs.gov.br;1;1;0;1;1;0;0;1;0;1;1;0;1;1;1;0;0;0;1;0;1;0;0;0;0;1;1;0;0;48;1;5;0;1;0;1;0;1;6;0;0;0;1
23;Bernardo;RO;AGERO;2015;https://rondonia.ro.gov.br/agero/;1;1;0;1;1;1;1;1;0;1;0;0;1;1;1;0;1;0;1;0;1;1;0;0;0;0;1;0;1;48;1;5;1;1;0;0;1;0;-1;1;1;1;0
60;Daniel;BA;AGERSA;2012;www.agersa.ba.gov.br;1;1;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;1;1;0;0;1;0;0;1;0;0;0;0;-1;1;-1;0;0;0;0;1;1;6;0;0;0;0
