;Pesquisador Responsável;UF;Nome;Ano de Criação;Site;Natureza de Autarquia;Criada por Lei;Resulta de Fusão;Competência Normativa;Autonomia Financeira;Autonomia Patrimonial;Autonomia Técnica;Autonomia Administrativa;Poder Concedente;Poder Sancionatório;Poder TAC;Programa de Compliance;Taxa de Regulação;Multa;Assessoria Jurídica;Assessores Procuradores;Algum Procurador;Assessoria Vinculada PGE;Ouvidoria;Ouvidor Mandato Fixo;Servidores Estatutários;Participação Social;Agenda Regulatória;Análise de Impacto;Nomeação Exclusivamente pelo Governador;Eleição Interna Presidente;Mandato Definido;Mandato Não-coincidente Diretores;Mandato Não-coincidente Governador;Tempo Mandato (meses);Experiência Prévia;Tempo Experiência (anos);Sabatina Assembleia;Aprovação Assembleia;Vedação Filiação Partidária;Alguma Vedação Setor Público;Algum Impedimento Prévio Setor;Quarentena;Tempo Quarentena (meses);Disciplina Mandatos Provisórios;Indicação Livre Mandatos Provisórios;Prevê Casos Exoneração;Prevê Procedimento Exoneração
58;Gustavo;DF;ADASA;2004;http://www.adasa.df.gov.br/;1;1;0;1;1;1;0;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;0;0;1;0;1;1;1;60;1;0;1;1;1;0;0;1;6;1;0;1;1
29;Soraya;DF;ADASA;2004;http://www.adasa.df.gov.br/;1;1;0;1;1;1;0;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;0;0;1;0;1;1;1;60;1;0;1;1;1;0;0;1;6;1;0;1;1
1;Bernardo;AC;AGEAC;2014;http://ageac.acre.gov.br/;1;1;0;1;1;1;1;1;0;1;0;0;1;1;1;0;0;1;1;0;1;1;0;0;0;0;1;0;0;48;0;0;0;1;0;0;0;1;6;1;0;1;0
30;José Vasco;AC;AGEAC;2014;http://ageac.acre.gov.br/;1;1;0;1;1;1;1;1;0;1;0;0;1;1;1;0;0;1;1;0;1;1;0;0;0;0;1;0;0;48;0;0;0;1;0;0;0;1;6;1;0;1;0
40;Gustavo;MS;AGEMS;2001;https://www.agems.ms.gov.br/;1;1;0;1;1;0;1;1;0;1;0;0;1;1;1;1;1;1;1;0;1;1;1;0;1;0;1;0;0;48;1;0;0;1;1;0;0;1;12;1;1;1;0
11;Soraya;MS;AGEMS;2001;https://www.agems.ms.gov.br/;1;1;0;1;1;0;1;1;0;1;0;0;1;1;1;1;1;1;1;0;1;1;1;0;1;0;1;0;0;48;1;0;0;1;1;0;0;1;12;1;1;1;0
49;Gustavo;RJ;AGENERSA;2005;www.agenersa.rj.gov.br;1;1;0;0;1;0;1;1;0;1;0;0;1;1;1;1;1;1;1;0;1;1;0;0;1;0;1;0;0;48;1;10;1;1;1;0;0;1;12;1;0;1;1
20;Soraya;RJ;AGENERSA;2005;www.agenersa.rj.gov.br;1;1;0;0;1;0;1;1;0;1;0;0;1;1;1;1;1;1;1;0;1;1;0;0;1;0;1;0;0;48;1;10;1;1;1;0;0;1;12;1;0;1;1
16;Lucas;PR;AGEPAR;2012;www.agepar.pr.gov.br;1;1;0;1;1;0;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;48;1;5;1;1;0;1;1;1;12;0;0;1;1
45;Thierry;PR;AGEPAR;2012;www.agepar.pr.gov.br;1;1;0;1;1;0;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;48;1;5;1;1;0;1;1;1;12;0;0;1;1
12;Lucas;MT;AGER;1999;http://www.ager.mt.gov.br/;1;1;0;1;1;0;0;1;0;1;0;0;1;1;1;0;0;1;1;1;1;1;1;1;1;0;1;1;1;48;0;-1;0;1;0;1;0;1;6;1;1;1;1
41;Thierry;MT;AGER;1999;http://www.ager.mt.gov.br/;1;1;0;1;1;0;0;1;0;1;0;0;1;1;1;0;0;1;1;1;1;1;1;1;1;0;1;1;1;48;0;-1;0;1;0;1;0;1;6;1;1;1;1
61;Daniel;BA;AGERBA;1998;http://www.agerba.ba.gov.br/;1;1;0;1;1;1;0;1;1;1;0;0;1;1;1;0;0;0;1;0;1;1;0;0;1;0;1;0;0;-1;1;5;0;0;1;0;0;1;12;0;-1;1;0
6;Julia;BA;AGERBA;1998;http://www.agerba.ba.gov.br/;1;1;0;1;1;1;0;1;1;1;0;0;1;1;1;0;0;0;1;0;1;1;0;0;1;0;1;0;0;-1;1;5;0;0;1;0;0;1;12;0;-1;1;0
35;Valéria;BA;AGERBA;1998;http://www.agerba.ba.gov.br/;1;1;0;1;1;1;0;1;1;1;0;0;1;1;1;0;0;0;1;0;1;1;0;0;1;0;1;0;0;-1;1;5;0;0;1;0;0;1;12;0;-1;1;0
22;Lucas;RS;AGERGS;1997;www.agergs.rs.gov.br;1;1;0;1;1;0;0;1;0;1;1;0;1;1;1;0;0;0;1;0;1;0;0;0;0;1;1;0;0;48;1;5;0;1;0;1;0;1;6;0;0;0;1
51;Thierry;RS;AGERGS;1997;www.agergs.rs.gov.br;1;1;0;1;1;0;0;1;0;1;1;0;1;1;1;0;0;0;1;0;1;0;0;0;0;1;1;0;0;48;1;5;0;1;0;1;0;1;6;0;0;0;1
23;Bernardo;RO;AGERO;2015;https://rondonia.ro.gov.br/agero/;1;1;0;1;1;1;1;1;0;1;0;0;1;1;1;0;1;0;1;0;1;1;0;0;0;0;1;0;1;48;1;5;1;1;0;0;1;0;-1;1;1;1;0
52;José Vasco;RO;AGERO;2015;https://rondonia.ro.gov.br/agero/;1;1;0;1;1;1;1;1;0;1;0;0;1;1;1;0;1;0;1;0;1;1;0;0;0;0;1;0;1;48;1;5;1;1;0;0;1;0;-1;1;1;1;0
60;Daniel;BA;AGERSA;2012;www.agersa.ba.gov.br;1;1;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;1;1;0;0;1;0;0;1;0;0;0;0;-1;1;-1;0;0;0;0;1;1;6;0;0;0;0
5;Julia;BA;AGERSA;2012;www.agersa.ba.gov.br;1;1;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;1;1;0;0;1;0;0;1;0;0;0;0;-1;1;-1;0;0;0;0;1;1;6;0;0;0;0
34;Valéria;BA;AGERSA;2012;www.agersa.ba.gov.br;1;1;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;1;1;0;0;1;0;0;1;0;0;0;0;-1;1;-1;0;0;0;0;1;1;6;0;0;0;0
58;Daniel;RJ;AGETRANSP;2005;www.agetransp.rj.gov.br;1;1;0;1;1;0;1;1;0;1;0;0;1;1;1;0;0;1;1;0;1;1;0;0;1;0;1;0;0;48;1;10;1;1;1;0;0;1;12;0;0;1;1
19;Julia;RJ;AGETRANSP;2005;www.agetransp.rj.gov.br;1;1;0;1;1;0;1;1;0;1;0;0;1;1;1;0;0;1;1;0;1;1;0;0;1;0;1;0;0;48;1;10;1;1;1;0;0;1;12;0;0;1;1
48;Valéria;RJ;AGETRANSP;2005;www.agetransp.rj.gov.br;1;1;0;1;1;0;1;1;0;1;0;0;1;1;1;0;0;1;1;0;1;1;0;0;1;0;1;0;0;48;1;10;1;1;1;0;0;1;12;0;0;1;1
9;Lucas;GO;AGR;1999;https://www.agr.go.gov.br/a-agencia/;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;1;0;1;1;1;48;1;-1;0;1;0;0;1;0;4;0;0;1;1
38;Thierry;GO;AGR;1999;https://www.agr.go.gov.br/a-agencia/;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;1;0;1;1;1;48;1;-1;0;1;0;0;1;0;4;0;0;1;1
