ID;Pesquisador Responsável;Nome;Natureza de Autarquia;Criada por Lei;Resulta de Fusão;Competência Normativa;Autonomia Financeira;Autonomia Patrimonial;Autonomia Técnica;Autonomia Administrativa;Poder Concedente;Poder Sancionatório;Poder TAC;Programa de Compliance;Taxa de Regulação;Multa;Assessoria Jurídica;Assessores Procuradores;Algum Procurador;Assessoria Vinculada PGE;Ouvidoria;Ouvidor Mandato Fixo;Servidores Estatutários;Participação Social;Agenda Regulatória;Análise de Impacto;Nomeação Exclusivamente pelo Governador;Eleição Interna Presidente;Mandato Definido;Mandato Não-coincidente Diretores;Mandato Não-coincidente Governador;Tempo Mandato (meses);Experiência Prévia;Tempo Experiência (anos);Sabatina Assembleia;Aprovação Assembleia;Vedação Filiação Partidária;Alguma Vedação Setor Público;Algum Impedimento Prévio Setor;Quarentena;Tempo Quarentena (meses);Disciplina Mandatos Provisórios;Indicação Livre Mandatos Provisórios;Prevê Casos Exoneração;Prevê Procedimento Exoneração
1;Bernardo;AGEAC;1;1;0;1;1;1;1;1;0;1;0;0;1;1;1;0;1;1;1;0;0;1;0;0;0;0;1;0;0;48;0;0;0;1;0;0;0;1;6;1;0;1;0
23;Bernardo;AGERO;1;1;0;1;1;1;1;1;0;1;0;0;1;1;1;0;1;1;0;0;1;1;0;0;0;0;1;0;1;48;1;5;1;1;0;0;1;0;0;1;1;1;0
18;Bernardo;AGRESPI;1;1;0;1;1;0;0;1;0;1;0;0;1;1;1;0;1;1;1;1;1;1;1;0;0;0;1;1;0;48;0;0;0;1;0;0;1;1;12;1;0;1;1
7;Bernardo;ARCE;1;1;0;1;1;1;0;1;0;1;0;0;1;1;1;0;0;1;1;0;0;1;0;0;0;1;1;1;0;48;1;0;0;1;0;0;0;1;4;1;1;1;1
14;Bernardo;ARCON;1;1;0;1;1;0;0;1;0;1;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;0;48;0;0;0;1;0;0;0;0;0;0;0;1;0
13;Bernardo;ARSAE;1;1;0;1;1;1;1;1;0;1;0;1;1;1;1;0;1;1;1;0;1;1;0;0;0;0;1;0;0;48;0;0;0;1;0;0;1;0;0;0;0;1;1
26;Bernardo;ARSESP;1;1;0;1;1;0;0;1;1;1;0;0;1;1;1;0;1;1;1;1;0;1;0;0;0;0;1;1;1;60;1;5;0;1;0;0;1;1;4;1;0;1;1
61;Daniel;AGERBA;1;1;0;1;1;1;0;1;1;1;0;0;1;1;1;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;1;5;0;0;1;0;0;1;12;0;0;1;0
60;Daniel;AGERSA;1;1;0;1;1;1;0;0;0;1;1;0;1;1;1;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;1;-1;0;0;0;0;1;1;6;0;0;0;0
58;Daniel;AGETRANSP;1;1;0;1;1;1;1;1;0;1;0;0;1;1;1;0;0;1;1;0;1;1;0;0;1;0;1;0;0;48;1;10;1;1;1;0;0;1;12;0;0;1;1
66;Daniel;AGRESE;1;1;0;1;1;1;1;1;0;1;0;0;1;1;1;0;0;1;1;0;1;1;0;0;1;0;1;1;0;24;1;-1;1;1;1;0;0;1;12;0;0;1;1
64;Daniel;ARPB;1;1;0;1;1;1;1;1;0;1;1;0;1;1;1;0;0;1;1;0;1;1;0;0;1;0;1;0;0;48;1;-1;0;1;0;0;1;1;12;0;0;1;1
65;Daniel;ARPE;1;1;0;1;1;1;0;1;0;1;1;0;1;1;1;0;0;1;1;1;1;1;0;0;1;0;1;1;1;48;0;-1;1;1;0;0;1;1;4;0;0;1;0
62;Daniel;ARSAL;1;1;0;1;1;1;0;1;0;1;0;0;1;1;1;0;0;0;1;0;1;1;0;0;1;0;1;1;1;36;1;-1;1;1;1;0;1;1;12;0;0;1;1
63;Daniel;ARSP;1;1;1;1;1;1;1;1;1;1;0;0;1;1;0;1;1;1;1;1;0;1;0;0;1;0;1;0;1;36;0;-1;0;0;0;0;0;1;12;0;0;1;0
58;Gustavo;ADASA;1;1;0;1;1;1;0;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;0;0;1;0;1;1;1;60;1;0;1;1;1;0;0;1;6;1;0;1;1
