agencia;pesquisadores;Natureza de Autarquia;Criada por Lei;Resulta de Fusão;Competência Normativa;Autonomia Financeira;Autonomia Patrimonial;Autonomia Técnica;Autonomia Administrativa;Poder Concedente;Poder Sancionatório;Poder TAC;Programa de Compliance;Taxa de Regulação;Multa;Assessoria Jurídica;Assessores Procuradores;Algum Procurador;Assessoria Vinculada PGE;Ouvidoria;Ouvidor Mandato Fixo;Servidores Estatutários;Participação Social;Agenda Regulatória;Análise de Impacto;Nomeação Exclusivamente pelo Governador;Eleição Interna Presidente;Mandato Definido;Mandato Não-coincidente Diretores;Mandato Não-coincidente Governador;Tempo Mandato (meses);Experiência Prévia;Tempo Experiência (anos);Sabatina Assembleia;Aprovação Assembleia;Vedação Filiação Partidária;Alguma Vedação Setor Público;Algum Impedimento Prévio Setor;Quarentena;Tempo Quarentena (meses);Disciplina Mandatos Provisórios;Indicação Livre Mandatos Provisórios;Prevê Casos Exoneração;Prevê Procedimento Exoneração
AGEAC;Bernardo, José Vasco;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0
AGERO;Bernardo, José Vasco;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
AGRESPI;Bernardo, José Vasco;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0
ARCE;Bernardo, José Vasco;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;1;1;1;0;1;0;0;1;0;1;0;0;1;0;0;0
ARCON;Bernardo, José Vasco;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;1;1;1;1;0;0
ARSAE;Bernardo, José Vasco;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;1;0;0;1;1;0;1;0;1
ARSESP;Bernardo, José Vasco;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0
AGERBA;Daniel, Julia, Valéria;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0
AGERSA;Daniel, Julia, Valéria;0;0;0;0;1;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;1
AGETRANSP;Daniel, Julia, Valéria;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0
