col0;col1;col2;col3;col4;col5;col6;col7
;ARCON - Agência de Regulação e Controle de Serviços Públicos do Estado do Pará;;;;;;
;;Autonomia e poderes regulatórios;;;;;78.6%
;;;Previsões Expressas de Autonomia;;;;0.5
;;;;Autonomia Administrativa;;;1
;;;;Autonomia Financeira;;;1
;;;;Autonomia Patrimonial;;;0
;;;;Autonomia Técnica;;;0
;;;Previsão de Taxa de Regulação;;;;1
;;;Previsão de Competência Normativa;;;;1
;;;Previsão de Poder Sancionatório;;;;1
;;;Previsão de poder para celebrar TAC;;;;0
;;;Grau de Vinculação à PGE;;;;1
;;;;Acessoria vinculada à PGE;;;0
;;;;Acessores são procuradores;;;0
;;;;Algum procurador alocado;;;0
;;;Não é Poder Concedente;;;;1
;;Governança e boas práticas;;;;;20.0%
;;;Ouvidoria;;;;0.5
;;;;Possui ouvidoria;;;1
;;;;Ouvidor tem mandato fixo;;;0
;;;Previsão de Programa de Integridade (Compliance);;;;0
;;;Previsão de Participação Social;;;;0
;;;Previsão de Agenda Regulatória;;;;0
;;;Previsão de AIR;;;;0
;;Independência e expertise dos dirigentes;;;;;43.3%
;;;Requisitos/Impedimentos dos Dirigentes;;;;0.2
;;;;Impedimento por atuação no setor;;;0
;;;;Impedimento por ocupar cargo político;;;0
;;;;Vedação de filiação partidária;;;0
;;;;Exigência de experiência prévia;;;0
;;;;Previsão de quarentena após mandato;;;1
;;;Processo de Nomeação dos Dirigentes;;;;0.5
;;;;Sabatina prévia da Assembleia Legislativa;;;0
;;;;Aprovação prévia da Assembleia Legislativa;;;1
;;;;Eleição interna do Diretor-Presidente;;;0
;;;;Livre indicação para mandatos provisórios;;;0
;;;Garantias Funcionais dos Dirigentes;;;;0.6
;;;;Mandato por prazo determinado;;;1
;;;;Mandatos não-coincidentes entre diretores;;;0
;;;;Mandatos não-coincidentes com o Governador;;;1
;;;;Exoneração sob hipóteses pré-determinadas;;;1
;;;;Procedimento expresso de exoneração;;;0
