col0;col1;col2;col3;col4;col5;col6;col7
;ARSAP - Agência Reguladora de Serviços Públicos Delegados do Estado do Amapá;;;;;;
;;Autonomia e poderes regulatórios;;;;;95.2%
;;;Previsões Expressas de Autonomia;;;;1
;;;;Autonomia Administrativa;;;1
;;;;Autonomia Financeira;;;1
;;;;Autonomia Patrimonial;;;1
;;;;Autonomia Técnica;;;1
;;;Previsão de Taxa de Regulação;;;;1
;;;Previsão de Competência Normativa;;;;1
;;;Previsão de Poder Sancionatório;;;;1
;;;Previsão de poder para celebrar TAC;;;;1
;;;Grau de Vinculação à PGE;;;;0.67
;;;;Acessoria vinculada à PGE;;;-1
;;;;Acessores são procuradores;;;0
;;;;Algum procurador alocado;;;0
;;;Não é Poder Concedente;;;;1
;;Governança e boas práticas;;;;;80.0%
;;;Ouvidoria;;;;1
;;;;Possui ouvidoria;;;1
;;;;Ouvidor tem mandato fixo;;;1
;;;Previsão de Programa de Integridade (Compliance);;;;0
;;;Previsão de Participação Social;;;;1
;;;Previsão de Agenda Regulatória;;;;1
;;;Previsão de AIR;;;;1
;;Independência e expertise dos dirigentes;;;;;61.7%
;;;Requisitos/Impedimentos dos Dirigentes;;;;0.6
;;;;Impedimento por atuação no setor;;;1
;;;;Impedimento por ocupar cargo político;;;0
;;;;Vedação de filiação partidária;;;0
;;;;Exigência de experiência prévia;;;1
;;;;Previsão de quarentena após mandato;;;1
;;;Processo de Nomeação dos Dirigentes;;;;0.25
;;;;Sabatina prévia da Assembleia Legislativa;;;0
;;;;Aprovação prévia da Assembleia Legislativa;;;1
;;;;Eleição interna do Diretor-Presidente;;;0
;;;;Livre indicação para mandatos provisórios;;;-1
;;;Garantias Funcionais dos Dirigentes;;;;1
;;;;Mandato por prazo determinado;;;1
;;;;Mandatos não-coincidentes entre diretores;;;1
;;;;Mandatos não-coincidentes com o Governador;;;1
;;;;Exoneração sob hipóteses pré-determinadas;;;1
;;;;Procedimento expresso de exoneração;;;1
